Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-10-07 06:09:52Z : PB = 292024320 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 292024320 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 292024320 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 292024320 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 292941824 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:09:52Z : PB = 292941824 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:09:52Z : PB = 292941824 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:09:52Z : PB = 299188224 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:09:52Z : PB = 299188224 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:09:52Z : PB = 299188224 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
